37	81	1
10.000	0.100	0.000
-1.600E+2	3.200E+0	0.000E+0	2.955E-2
-1.600E+2	3.300E+0	0.000E+0	3.643E-2
-1.600E+2	3.400E+0	0.000E+0	4.622E-2
-1.600E+2	3.500E+0	0.000E+0	3.754E-2
-1.600E+2	3.600E+0	0.000E+0	3.736E-2
-1.600E+2	3.700E+0	0.000E+0	3.215E-2
-1.600E+2	3.800E+0	0.000E+0	3.143E-2
-1.600E+2	3.900E+0	0.000E+0	3.695E-2
-1.600E+2	4.000E+0	0.000E+0	4.271E-2
-1.500E+2	-4.000E+0	0.000E+0	3.114E-2
-1.500E+2	-3.900E+0	0.000E+0	2.329E-2
-1.500E+2	-3.800E+0	0.000E+0	3.836E-2
-1.500E+2	-3.700E+0	0.000E+0	2.474E-2
-1.500E+2	-3.600E+0	0.000E+0	2.392E-2
-1.500E+2	-3.500E+0	0.000E+0	3.274E-2
-1.500E+2	-3.400E+0	0.000E+0	3.719E-2
-1.500E+2	-3.300E+0	0.000E+0	2.922E-2
-1.500E+2	-3.200E+0	0.000E+0	3.596E-2
-1.500E+2	-3.100E+0	0.000E+0	4.176E-2
-1.500E+2	-3.000E+0	0.000E+0	4.686E-2
-1.500E+2	-2.900E+0	0.000E+0	4.960E-2
-1.500E+2	-2.800E+0	0.000E+0	4.682E-2
-1.500E+2	-2.700E+0	0.000E+0	4.430E-2
-1.500E+2	-2.600E+0	0.000E+0	4.697E-2
-1.500E+2	-2.500E+0	0.000E+0	5.236E-2
-1.500E+2	-2.400E+0	0.000E+0	5.876E-2
-1.500E+2	-2.300E+0	0.000E+0	6.552E-2
-1.500E+2	-2.200E+0	0.000E+0	6.863E-2
-1.500E+2	-2.100E+0	0.000E+0	6.727E-2
-1.500E+2	-2.000E+0	0.000E+0	6.539E-2
-1.500E+2	-1.900E+0	0.000E+0	5.705E-2
-1.500E+2	-1.800E+0	0.000E+0	5.279E-2
-1.500E+2	-1.700E+0	0.000E+0	5.308E-2
-1.500E+2	-1.600E+0	0.000E+0	5.764E-2
-1.500E+2	-1.500E+0	0.000E+0	6.512E-2
-1.500E+2	-1.400E+0	0.000E+0	7.519E-2
-1.500E+2	-1.300E+0	0.000E+0	7.737E-2
-1.500E+2	-1.200E+0	0.000E+0	7.601E-2
-1.500E+2	-1.100E+0	0.000E+0	7.695E-2
-1.500E+2	-1.000E+0	0.000E+0	8.074E-2
-1.500E+2	-9.000E-1	0.000E+0	8.159E-2
-1.500E+2	-8.000E-1	0.000E+0	8.768E-2
-1.500E+2	-7.000E-1	0.000E+0	9.520E-2
-1.500E+2	-6.000E-1	0.000E+0	9.418E-2
-1.500E+2	-5.000E-1	0.000E+0	9.092E-2
-1.500E+2	-4.000E-1	0.000E+0	8.961E-2
-1.500E+2	-3.000E-1	0.000E+0	9.040E-2
-1.500E+2	-2.000E-1	0.000E+0	8.928E-2
-1.500E+2	-1.000E-1	0.000E+0	8.841E-2
-1.500E+2	0.000E+0	0.000E+0	9.245E-2
-1.500E+2	1.000E-1	0.000E+0	9.513E-2
-1.500E+2	2.000E-1	0.000E+0	9.424E-2
-1.500E+2	3.000E-1	0.000E+0	9.081E-2
-1.500E+2	4.000E-1	0.000E+0	8.645E-2
-1.500E+2	5.000E-1	0.000E+0	8.205E-2
-1.500E+2	6.000E-1	0.000E+0	7.297E-2
-1.500E+2	7.000E-1	0.000E+0	6.738E-2
-1.500E+2	8.000E-1	0.000E+0	6.255E-2
-1.500E+2	9.000E-1	0.000E+0	5.605E-2
-1.500E+2	1.000E+0	0.000E+0	5.028E-2
-1.500E+2	1.100E+0	0.000E+0	4.286E-2
-1.500E+2	1.200E+0	0.000E+0	3.594E-2
-1.500E+2	1.300E+0	0.000E+0	4.159E-2
-1.500E+2	1.400E+0	0.000E+0	3.369E-2
-1.500E+2	1.500E+0	0.000E+0	2.811E-2
-1.500E+2	1.600E+0	0.000E+0	3.388E-2
-1.500E+2	1.700E+0	0.000E+0	3.515E-2
-1.500E+2	1.800E+0	0.000E+0	3.647E-2
-1.500E+2	1.900E+0	0.000E+0	3.846E-2
-1.500E+2	2.000E+0	0.000E+0	3.963E-2
-1.500E+2	2.100E+0	0.000E+0	4.079E-2
-1.500E+2	2.200E+0	0.000E+0	3.899E-2
-1.500E+2	2.300E+0	0.000E+0	3.246E-2
-1.500E+2	2.400E+0	0.000E+0	2.939E-2
-1.500E+2	2.500E+0	0.000E+0	3.358E-2
-1.500E+2	2.600E+0	0.000E+0	3.892E-2
-1.500E+2	2.700E+0	0.000E+0	3.224E-2
-1.500E+2	2.800E+0	0.000E+0	3.792E-2
-1.500E+2	2.900E+0	0.000E+0	4.013E-2
-1.500E+2	3.000E+0	0.000E+0	3.225E-2
-1.500E+2	3.100E+0	0.000E+0	3.220E-2
-1.500E+2	3.200E+0	0.000E+0	3.242E-2
-1.500E+2	3.300E+0	0.000E+0	3.427E-2
-1.500E+2	3.400E+0	0.000E+0	3.686E-2
-1.500E+2	3.500E+0	0.000E+0	2.921E-2
-1.500E+2	3.600E+0	0.000E+0	3.341E-2
-1.500E+2	3.700E+0	0.000E+0	3.080E-2
-1.500E+2	3.800E+0	0.000E+0	3.673E-2
-1.500E+2	3.900E+0	0.000E+0	2.508E-2
-1.500E+2	4.000E+0	0.000E+0	3.974E-2
-1.400E+2	-4.000E+0	0.000E+0	2.262E-2
-1.400E+2	-3.900E+0	0.000E+0	3.509E-2
-1.400E+2	-3.800E+0	0.000E+0	2.921E-2
-1.400E+2	-3.700E+0	0.000E+0	3.752E-2
-1.400E+2	-3.600E+0	0.000E+0	2.789E-2
-1.400E+2	-3.500E+0	0.000E+0	4.132E-2
-1.400E+2	-3.400E+0	0.000E+0	3.851E-2
-1.400E+2	-3.300E+0	0.000E+0	3.451E-2
-1.400E+2	-3.200E+0	0.000E+0	3.568E-2
-1.400E+2	-3.100E+0	0.000E+0	3.745E-2
-1.400E+2	-3.000E+0	0.000E+0	3.831E-2
-1.400E+2	-2.900E+0	0.000E+0	3.755E-2
-1.400E+2	-2.800E+0	0.000E+0	4.214E-2
-1.400E+2	-2.700E+0	0.000E+0	4.923E-2
-1.400E+2	-2.600E+0	0.000E+0	5.131E-2
-1.400E+2	-2.500E+0	0.000E+0	5.237E-2
-1.400E+2	-2.400E+0	0.000E+0	5.703E-2
-1.400E+2	-2.300E+0	0.000E+0	5.775E-2
-1.400E+2	-2.200E+0	0.000E+0	5.513E-2
-1.400E+2	-2.100E+0	0.000E+0	5.824E-2
-1.400E+2	-2.000E+0	0.000E+0	5.809E-2
-1.400E+2	-1.900E+0	0.000E+0	5.631E-2
-1.400E+2	-1.800E+0	0.000E+0	6.443E-2
-1.400E+2	-1.700E+0	0.000E+0	7.268E-2
-1.400E+2	-1.600E+0	0.000E+0	7.049E-2
-1.400E+2	-1.500E+0	0.000E+0	6.864E-2
-1.400E+2	-1.400E+0	0.000E+0	6.762E-2
-1.400E+2	-1.300E+0	0.000E+0	6.522E-2
-1.400E+2	-1.200E+0	0.000E+0	6.947E-2
-1.400E+2	-1.100E+0	0.000E+0	8.108E-2
-1.400E+2	-1.000E+0	0.000E+0	8.743E-2
-1.400E+2	-9.000E-1	0.000E+0	9.187E-2
-1.400E+2	-8.000E-1	0.000E+0	9.688E-2
-1.400E+2	-7.000E-1	0.000E+0	9.775E-2
-1.400E+2	-6.000E-1	0.000E+0	9.425E-2
-1.400E+2	-5.000E-1	0.000E+0	8.871E-2
-1.400E+2	-4.000E-1	0.000E+0	8.261E-2
-1.400E+2	-3.000E-1	0.000E+0	7.570E-2
-1.400E+2	-2.000E-1	0.000E+0	6.975E-2
-1.400E+2	-1.000E-1	0.000E+0	6.540E-2
-1.400E+2	0.000E+0	0.000E+0	6.567E-2
-1.400E+2	1.000E-1	0.000E+0	6.661E-2
-1.400E+2	2.000E-1	0.000E+0	6.790E-2
-1.400E+2	3.000E-1	0.000E+0	7.116E-2
-1.400E+2	4.000E-1	0.000E+0	7.485E-2
-1.400E+2	5.000E-1	0.000E+0	7.611E-2
-1.400E+2	6.000E-1	0.000E+0	7.539E-2
-1.400E+2	7.000E-1	0.000E+0	7.643E-2
-1.400E+2	8.000E-1	0.000E+0	7.609E-2
-1.400E+2	9.000E-1	0.000E+0	7.243E-2
-1.400E+2	1.000E+0	0.000E+0	6.877E-2
-1.400E+2	1.100E+0	0.000E+0	6.647E-2
-1.400E+2	1.200E+0	0.000E+0	6.299E-2
-1.400E+2	1.300E+0	0.000E+0	5.627E-2
-1.400E+2	1.400E+0	0.000E+0	5.125E-2
-1.400E+2	1.500E+0	0.000E+0	5.123E-2
-1.400E+2	1.600E+0	0.000E+0	5.449E-2
-1.400E+2	1.700E+0	0.000E+0	5.442E-2
-1.400E+2	1.800E+0	0.000E+0	5.318E-2
-1.400E+2	1.900E+0	0.000E+0	5.329E-2
-1.400E+2	2.000E+0	0.000E+0	5.396E-2
-1.400E+2	2.100E+0	0.000E+0	4.778E-2
-1.400E+2	2.200E+0	0.000E+0	4.035E-2
-1.400E+2	2.300E+0	0.000E+0	3.719E-2
-1.400E+2	2.400E+0	0.000E+0	3.351E-2
-1.400E+2	2.500E+0	0.000E+0	3.984E-2
-1.400E+2	2.600E+0	0.000E+0	2.427E-2
-1.400E+2	2.700E+0	0.000E+0	3.884E-2
-1.400E+2	2.800E+0	0.000E+0	4.138E-2
-1.400E+2	2.900E+0	0.000E+0	3.508E-2
-1.400E+2	3.000E+0	0.000E+0	1.941E-2
-1.400E+2	3.100E+0	0.000E+0	2.756E-2
-1.400E+2	3.200E+0	0.000E+0	3.429E-2
-1.400E+2	3.300E+0	0.000E+0	4.726E-2
-1.400E+2	3.400E+0	0.000E+0	3.337E-2
-1.400E+2	3.500E+0	0.000E+0	3.964E-2
-1.400E+2	3.600E+0	0.000E+0	3.609E-2
-1.400E+2	3.700E+0	0.000E+0	3.202E-2
-1.400E+2	3.800E+0	0.000E+0	3.035E-2
-1.400E+2	3.900E+0	0.000E+0	3.588E-2
-1.400E+2	4.000E+0	0.000E+0	3.905E-2
-1.300E+2	-4.000E+0	0.000E+0	3.280E-2
-1.300E+2	-3.900E+0	0.000E+0	2.722E-2
-1.300E+2	-3.800E+0	0.000E+0	3.937E-2
-1.300E+2	-3.700E+0	0.000E+0	3.042E-2
-1.300E+2	-3.600E+0	0.000E+0	4.322E-2
-1.300E+2	-3.500E+0	0.000E+0	3.592E-2
-1.300E+2	-3.400E+0	0.000E+0	3.751E-2
-1.300E+2	-3.300E+0	0.000E+0	3.714E-2
-1.300E+2	-3.200E+0	0.000E+0	3.970E-2
-1.300E+2	-3.100E+0	0.000E+0	3.732E-2
-1.300E+2	-3.000E+0	0.000E+0	3.436E-2
-1.300E+2	-2.900E+0	0.000E+0	3.474E-2
-1.300E+2	-2.800E+0	0.000E+0	4.387E-2
-1.300E+2	-2.700E+0	0.000E+0	4.541E-2
-1.300E+2	-2.600E+0	0.000E+0	4.828E-2
-1.300E+2	-2.500E+0	0.000E+0	4.750E-2
-1.300E+2	-2.400E+0	0.000E+0	5.208E-2
-1.300E+2	-2.300E+0	0.000E+0	5.331E-2
-1.300E+2	-2.200E+0	0.000E+0	4.961E-2
-1.300E+2	-2.100E+0	0.000E+0	5.488E-2
-1.300E+2	-2.000E+0	0.000E+0	6.003E-2
-1.300E+2	-1.900E+0	0.000E+0	5.798E-2
-1.300E+2	-1.800E+0	0.000E+0	6.017E-2
-1.300E+2	-1.700E+0	0.000E+0	6.533E-2
-1.300E+2	-1.600E+0	0.000E+0	6.331E-2
-1.300E+2	-1.500E+0	0.000E+0	6.403E-2
-1.300E+2	-1.400E+0	0.000E+0	6.871E-2
-1.300E+2	-1.300E+0	0.000E+0	6.730E-2
-1.300E+2	-1.200E+0	0.000E+0	6.655E-2
-1.300E+2	-1.100E+0	0.000E+0	7.506E-2
-1.300E+2	-1.000E+0	0.000E+0	8.067E-2
-1.300E+2	-9.000E-1	0.000E+0	8.403E-2
-1.300E+2	-8.000E-1	0.000E+0	8.722E-2
-1.300E+2	-7.000E-1	0.000E+0	8.636E-2
-1.300E+2	-6.000E-1	0.000E+0	7.948E-2
-1.300E+2	-5.000E-1	0.000E+0	7.245E-2
-1.300E+2	-4.000E-1	0.000E+0	6.712E-2
-1.300E+2	-3.000E-1	0.000E+0	6.115E-2
-1.300E+2	-2.000E-1	0.000E+0	5.672E-2
-1.300E+2	-1.000E-1	0.000E+0	5.751E-2
-1.300E+2	0.000E+0	0.000E+0	5.992E-2
-1.300E+2	1.000E-1	0.000E+0	6.207E-2
-1.300E+2	2.000E-1	0.000E+0	6.367E-2
-1.300E+2	3.000E-1	0.000E+0	6.810E-2
-1.300E+2	4.000E-1	0.000E+0	7.222E-2
-1.300E+2	5.000E-1	0.000E+0	7.565E-2
-1.300E+2	6.000E-1	0.000E+0	7.810E-2
-1.300E+2	7.000E-1	0.000E+0	8.043E-2
-1.300E+2	8.000E-1	0.000E+0	8.176E-2
-1.300E+2	9.000E-1	0.000E+0	7.736E-2
-1.300E+2	1.000E+0	0.000E+0	7.233E-2
-1.300E+2	1.100E+0	0.000E+0	6.873E-2
-1.300E+2	1.200E+0	0.000E+0	6.411E-2
-1.300E+2	1.300E+0	0.000E+0	5.635E-2
-1.300E+2	1.400E+0	0.000E+0	4.978E-2
-1.300E+2	1.500E+0	0.000E+0	4.901E-2
