37	81	1
10.000	0.100	0.000
-1.600E+2	3.800E+0	0.000E+0	1.734E-2
-1.600E+2	3.900E+0	0.000E+0	1.588E-2
-1.600E+2	4.000E+0	0.000E+0	2.382E-2
-1.500E+2	-4.000E+0	0.000E+0	2.410E-2
-1.500E+2	-3.900E+0	0.000E+0	2.160E-2
-1.500E+2	-3.800E+0	0.000E+0	2.097E-2
-1.500E+2	-3.700E+0	0.000E+0	2.974E-2
-1.500E+2	-3.600E+0	0.000E+0	2.974E-2
-1.500E+2	-3.500E+0	0.000E+0	2.267E-2
-1.500E+2	-3.400E+0	0.000E+0	2.536E-2
-1.500E+2	-3.300E+0	0.000E+0	2.799E-2
-1.500E+2	-3.200E+0	0.000E+0	2.930E-2
-1.500E+2	-3.100E+0	0.000E+0	3.467E-2
-1.500E+2	-3.000E+0	0.000E+0	3.743E-2
-1.500E+2	-2.900E+0	0.000E+0	3.595E-2
-1.500E+2	-2.800E+0	0.000E+0	3.695E-2
-1.500E+2	-2.700E+0	0.000E+0	3.794E-2
-1.500E+2	-2.600E+0	0.000E+0	3.662E-2
-1.500E+2	-2.500E+0	0.000E+0	4.651E-2
-1.500E+2	-2.400E+0	0.000E+0	5.325E-2
-1.500E+2	-2.300E+0	0.000E+0	5.282E-2
-1.500E+2	-2.200E+0	0.000E+0	5.558E-2
-1.500E+2	-2.100E+0	0.000E+0	5.864E-2
-1.500E+2	-2.000E+0	0.000E+0	5.633E-2
-1.500E+2	-1.900E+0	0.000E+0	6.077E-2
-1.500E+2	-1.800E+0	0.000E+0	7.062E-2
-1.500E+2	-1.700E+0	0.000E+0	7.500E-2
-1.500E+2	-1.600E+0	0.000E+0	7.783E-2
-1.500E+2	-1.500E+0	0.000E+0	8.688E-2
-1.500E+2	-1.400E+0	0.000E+0	8.698E-2
-1.500E+2	-1.300E+0	0.000E+0	8.103E-2
-1.500E+2	-1.200E+0	0.000E+0	7.838E-2
-1.500E+2	-1.100E+0	0.000E+0	7.322E-2
-1.500E+2	-1.000E+0	0.000E+0	6.851E-2
-1.500E+2	-9.000E-1	0.000E+0	7.639E-2
-1.500E+2	-8.000E-1	0.000E+0	8.528E-2
-1.500E+2	-7.000E-1	0.000E+0	9.058E-2
-1.500E+2	-6.000E-1	0.000E+0	9.490E-2
-1.500E+2	-5.000E-1	0.000E+0	9.608E-2
-1.500E+2	-4.000E-1	0.000E+0	8.945E-2
-1.500E+2	-3.000E-1	0.000E+0	8.025E-2
-1.500E+2	-2.000E-1	0.000E+0	7.283E-2
-1.500E+2	-1.000E-1	0.000E+0	6.299E-2
-1.500E+2	0.000E+0	0.000E+0	5.552E-2
-1.500E+2	1.000E-1	0.000E+0	5.345E-2
-1.500E+2	2.000E-1	0.000E+0	5.910E-2
-1.500E+2	3.000E-1	0.000E+0	6.307E-2
-1.500E+2	4.000E-1	0.000E+0	6.340E-2
-1.500E+2	5.000E-1	0.000E+0	6.659E-2
-1.500E+2	6.000E-1	0.000E+0	7.239E-2
-1.500E+2	7.000E-1	0.000E+0	7.335E-2
-1.500E+2	8.000E-1	0.000E+0	7.011E-2
-1.500E+2	9.000E-1	0.000E+0	6.781E-2
-1.500E+2	1.000E+0	0.000E+0	7.006E-2
-1.500E+2	1.100E+0	0.000E+0	6.886E-2
-1.500E+2	1.200E+0	0.000E+0	6.325E-2
-1.500E+2	1.300E+0	0.000E+0	6.234E-2
-1.500E+2	1.400E+0	0.000E+0	6.535E-2
-1.500E+2	1.500E+0	0.000E+0	6.020E-2
-1.500E+2	1.600E+0	0.000E+0	5.032E-2
-1.500E+2	1.700E+0	0.000E+0	4.404E-2
-1.500E+2	1.800E+0	0.000E+0	4.219E-2
-1.500E+2	1.900E+0	0.000E+0	3.726E-2
-1.500E+2	2.000E+0	0.000E+0	3.272E-2
-1.500E+2	2.100E+0	0.000E+0	3.151E-2
-1.500E+2	2.200E+0	0.000E+0	3.650E-2
-1.500E+2	2.300E+0	0.000E+0	4.103E-2
-1.500E+2	2.400E+0	0.000E+0	3.592E-2
-1.500E+2	2.500E+0	0.000E+0	3.284E-2
-1.500E+2	2.600E+0	0.000E+0	3.550E-2
-1.500E+2	2.700E+0	0.000E+0	3.410E-2
-1.500E+2	2.800E+0	0.000E+0	2.608E-2
-1.500E+2	2.900E+0	0.000E+0	1.917E-2
-1.500E+2	3.000E+0	0.000E+0	2.850E-2
-1.500E+2	3.100E+0	0.000E+0	2.588E-2
-1.500E+2	3.200E+0	0.000E+0	2.080E-2
-1.500E+2	3.300E+0	0.000E+0	1.553E-2
-1.500E+2	3.400E+0	0.000E+0	2.313E-2
-1.500E+2	3.500E+0	0.000E+0	1.472E-2
-1.500E+2	3.600E+0	0.000E+0	2.114E-2
-1.500E+2	3.700E+0	0.000E+0	2.853E-2
-1.500E+2	3.800E+0	0.000E+0	2.911E-2
-1.500E+2	3.900E+0	0.000E+0	1.788E-2
-1.500E+2	4.000E+0	0.000E+0	1.294E-2
-1.400E+2	-4.000E+0	0.000E+0	2.811E-2
-1.400E+2	-3.900E+0	0.000E+0	3.172E-2
-1.400E+2	-3.800E+0	0.000E+0	3.699E-2
-1.400E+2	-3.700E+0	0.000E+0	2.527E-2
-1.400E+2	-3.600E+0	0.000E+0	2.968E-2
-1.400E+2	-3.500E+0	0.000E+0	2.110E-2
-1.400E+2	-3.400E+0	0.000E+0	2.180E-2
-1.400E+2	-3.300E+0	0.000E+0	2.351E-2
-1.400E+2	-3.200E+0	0.000E+0	2.801E-2
-1.400E+2	-3.100E+0	0.000E+0	3.028E-2
-1.400E+2	-3.000E+0	0.000E+0	3.552E-2
-1.400E+2	-2.900E+0	0.000E+0	3.403E-2
-1.400E+2	-2.800E+0	0.000E+0	3.576E-2
-1.400E+2	-2.700E+0	0.000E+0	4.115E-2
-1.400E+2	-2.600E+0	0.000E+0	3.814E-2
-1.400E+2	-2.500E+0	0.000E+0	3.704E-2
-1.400E+2	-2.400E+0	0.000E+0	4.571E-2
-1.400E+2	-2.300E+0	0.000E+0	5.039E-2
-1.400E+2	-2.200E+0	0.000E+0	5.572E-2
-1.400E+2	-2.100E+0	0.000E+0	6.731E-2
-1.400E+2	-2.000E+0	0.000E+0	6.896E-2
-1.400E+2	-1.900E+0	0.000E+0	6.580E-2
-1.400E+2	-1.800E+0	0.000E+0	6.668E-2
-1.400E+2	-1.700E+0	0.000E+0	6.837E-2
-1.400E+2	-1.600E+0	0.000E+0	7.390E-2
-1.400E+2	-1.500E+0	0.000E+0	8.277E-2
-1.400E+2	-1.400E+0	0.000E+0	8.864E-2
-1.400E+2	-1.300E+0	0.000E+0	8.990E-2
-1.400E+2	-1.200E+0	0.000E+0	8.756E-2
-1.400E+2	-1.100E+0	0.000E+0	8.286E-2
-1.400E+2	-1.000E+0	0.000E+0	7.647E-2
-1.400E+2	-9.000E-1	0.000E+0	7.452E-2
-1.400E+2	-8.000E-1	0.000E+0	7.684E-2
-1.400E+2	-7.000E-1	0.000E+0	7.784E-2
-1.400E+2	-6.000E-1	0.000E+0	8.163E-2
-1.400E+2	-5.000E-1	0.000E+0	8.586E-2
-1.400E+2	-4.000E-1	0.000E+0	8.391E-2
-1.400E+2	-3.000E-1	0.000E+0	8.007E-2
-1.400E+2	-2.000E-1	0.000E+0	7.573E-2
-1.400E+2	-1.000E-1	0.000E+0	6.880E-2
-1.400E+2	0.000E+0	0.000E+0	6.012E-2
-1.400E+2	1.000E-1	0.000E+0	5.398E-2
-1.400E+2	2.000E-1	0.000E+0	5.247E-2
-1.400E+2	3.000E-1	0.000E+0	5.263E-2
-1.400E+2	4.000E-1	0.000E+0	5.511E-2
-1.400E+2	5.000E-1	0.000E+0	5.844E-2
-1.400E+2	6.000E-1	0.000E+0	6.662E-2
-1.400E+2	7.000E-1	0.000E+0	7.492E-2
-1.400E+2	8.000E-1	0.000E+0	7.835E-2
-1.400E+2	9.000E-1	0.000E+0	8.017E-2
-1.400E+2	1.000E+0	0.000E+0	8.128E-2
-1.400E+2	1.100E+0	0.000E+0	8.017E-2
-1.400E+2	1.200E+0	0.000E+0	7.567E-2
-1.400E+2	1.300E+0	0.000E+0	6.802E-2
-1.400E+2	1.400E+0	0.000E+0	6.612E-2
-1.400E+2	1.500E+0	0.000E+0	6.345E-2
-1.400E+2	1.600E+0	0.000E+0	5.552E-2
-1.400E+2	1.700E+0	0.000E+0	4.996E-2
-1.400E+2	1.800E+0	0.000E+0	5.033E-2
-1.400E+2	1.900E+0	0.000E+0	5.298E-2
-1.400E+2	2.000E+0	0.000E+0	5.160E-2
-1.400E+2	2.100E+0	0.000E+0	4.579E-2
-1.400E+2	2.200E+0	0.000E+0	4.375E-2
-1.400E+2	2.300E+0	0.000E+0	4.347E-2
-1.400E+2	2.400E+0	0.000E+0	3.860E-2
-1.400E+2	2.500E+0	0.000E+0	3.125E-2
-1.400E+2	2.600E+0	0.000E+0	2.988E-2
-1.400E+2	2.700E+0	0.000E+0	3.266E-2
-1.400E+2	2.800E+0	0.000E+0	3.054E-2
-1.400E+2	2.900E+0	0.000E+0	2.469E-2
-1.400E+2	3.000E+0	0.000E+0	3.399E-2
-1.400E+2	3.100E+0	0.000E+0	2.947E-2
-1.400E+2	3.200E+0	0.000E+0	2.320E-2
-1.400E+2	3.300E+0	0.000E+0	2.561E-2
-1.400E+2	3.400E+0	0.000E+0	1.907E-2
-1.400E+2	3.500E+0	0.000E+0	3.525E-2
-1.400E+2	3.600E+0	0.000E+0	1.646E-2
-1.400E+2	3.700E+0	0.000E+0	3.120E-2
-1.400E+2	3.800E+0	0.000E+0	2.198E-2
-1.400E+2	3.900E+0	0.000E+0	3.431E-2
-1.400E+2	4.000E+0	0.000E+0	2.601E-2
-1.300E+2	-4.000E+0	0.000E+0	2.439E-2
-1.300E+2	-3.900E+0	0.000E+0	2.156E-2
-1.300E+2	-3.800E+0	0.000E+0	1.994E-2
-1.300E+2	-3.700E+0	0.000E+0	2.509E-2
-1.300E+2	-3.600E+0	0.000E+0	2.698E-2
-1.300E+2	-3.500E+0	0.000E+0	2.801E-2
-1.300E+2	-3.400E+0	0.000E+0	2.099E-2
-1.300E+2	-3.300E+0	0.000E+0	2.776E-2
-1.300E+2	-3.200E+0	0.000E+0	3.062E-2
-1.300E+2	-3.100E+0	0.000E+0	3.505E-2
-1.300E+2	-3.000E+0	0.000E+0	3.501E-2
-1.300E+2	-2.900E+0	0.000E+0	3.435E-2
-1.300E+2	-2.800E+0	0.000E+0	3.526E-2
-1.300E+2	-2.700E+0	0.000E+0	4.184E-2
-1.300E+2	-2.600E+0	0.000E+0	4.509E-2
-1.300E+2	-2.500E+0	0.000E+0	4.561E-2
-1.300E+2	-2.400E+0	0.000E+0	4.945E-2
-1.300E+2	-2.300E+0	0.000E+0	5.571E-2
-1.300E+2	-2.200E+0	0.000E+0	6.031E-2
-1.300E+2	-2.100E+0	0.000E+0	6.398E-2
-1.300E+2	-2.000E+0	0.000E+0	6.586E-2
-1.300E+2	-1.900E+0	0.000E+0	6.913E-2
-1.300E+2	-1.800E+0	0.000E+0	7.485E-2
-1.300E+2	-1.700E+0	0.000E+0	8.009E-2
-1.300E+2	-1.600E+0	0.000E+0	8.722E-2
-1.300E+2	-1.500E+0	0.000E+0	9.090E-2
-1.300E+2	-1.400E+0	0.000E+0	8.591E-2
-1.300E+2	-1.300E+0	0.000E+0	8.551E-2
-1.300E+2	-1.200E+0	0.000E+0	8.867E-2
